Title,Summary
10 Lives,"A pampered cat takes for granted the lucky hand he has been dealt after he is rescued and loved by Rose, a kind-hearted and passionate student. When he loses his ninth life, fate steps in to set him on a transformative journey."
Peter Five Eight,A seemingly glamorous real estate agent in a small mountain community is revealed to be an unhinged alcoholic with a dark secret when a charismatic man in black shows up one day at the behest of his shadowy boss.
The Contract,"Following up on a murder investigation, failed journalist Giuseppe falls into the trap of the devil."
Cita,A sexually charged story about a young woman who secretly sleeps with her husband's son. The two form an alliance to kill her husband but fate has other plans for Cita.
Case of Kondana,"In the outskirts of Bangalore, a fiery ASI clashes with a gangster in a fictional outpost. His love life faces hurdles while ACP Lakshmi hunts a criminal and Raju tries to save his ill son."
Buzz House: The Movie,"Selly has prepared many surprises for the participants: secret contestants, a villa isolated in the woods accessible only by boat, and a costumed employee tasked with frightening them, making it thrilling."
Simarik,"This is the story of Mete, the spoiled son of a wealthy businessman whose father makes him believe he has reincarnated as a servant in a 16th-century Ottoman city."
The Flood,Follows the last days of Louis XVI and Marie Antoinette before they were executed.
Steppenwolf,Tamara searches for her missing son in a violent town. She hires a morally questionable ex-detective to find him. His methods are cruel but she is determined to find her son whatever the cost.
Anaconda,"A re-interpretation of the iconic '90s creature feature, in which a group of circus athletes - having found themselves stranded in a rain forest - come face-to-face with the elements, a bloodthirsty poacher, and a formidable giant snake."
Doraemon the Movie: Nobita's Earth Symphony,"Doraemon and friends go on an adventure to meet new buddies, connect to people with music, and save the world from a crisis."
The Gentleman,"Eccentric director Rande faces threat from young actor Dane to his success, Oscar aspirations, marriage, and career. His jealousy and indecisiveness jeopardize his lavish Hollywood life, forcing him to reevaluate priorities."
Saint Clare,"In a small town a solitary woman is haunted by voices that lead her to assassinate ill intended people and get away with it, until her last kill sucks her down a rabbit hole riddled with corruption, trafficking and visions from the beyond"
Love Me Dead,"Reclusive mortician Issac forms bond with waitress Cassi. After harrowing incident, they embark on a path of revenge, blurring lines between reality and fiction in this psychological thriller's tense narrative."
Rachael Hunger,A filmmaker makes a documentary about a content creator.
Rabia,"Driven by the promise of a new life, Jessica, a 19-year-old Frenchwoman, leaves for Syria to join Daech. Arriving in Raqqa, she joins a home for the future wives of combatants, and soon finds herself the prisoner of Madame, the charismatic director who runs the place with an iron fist. Inspired by true events."
April,"Nina, an OB-GYN, faces accusations after newborn's death. Her life undergoes scrutiny during investigation. She persists in her medical duties, determined to provide care others hesitate to offer, despite risks."
Mørkeland,"Ulrik Torp, once a fearless investigative journalist who is now tackling unemployment and a midlife crisis. He finds himself in the middle of a new political conspiracy."
Premalu,"Sachin's quest for love takes unexpected turns, creating a laughter-filled love triangle."
Ashes,"A wealthy, married woman falling in love with a mysterious carpenter, which will lead to many conflicts."
I Wish You All the Best,"It follows a teen who after being kicked out of the house by their parents, embarks upon a journey of self-discovery that teaches them about love, friendship, and family."
Black Cab,"A couple's jovial cab driver diverts them to a remote, haunted road, revealing disturbing motives and his true intentions."
Cesium Fallout,"In a Hong Kong recycling plant, a massive fire exposes a radiation crisis caused by illegal garbage smuggling. Government advisor, executive, and firefighters embark on a high-stakes mission to mitigate the disaster."
Cult Killer,"After a renowned private investigator is murdered, his protégé takes on the case. As her investigation unfolds, she is forced into a dangerous alliance with his killer to uncover the town's grisly secrets and bring justice to its victims."
Dark Match,"A small-time wrestling company accepts a well-paying gig in a backwoods town only to learn, too late, that the community is run by a mysterious cult leader with devious plans for their match."
Guns & Moses,A beloved small town rabbi in the high desert becomes an unlikely gunslinger after his community is violently attacked.
King Ivory,"Based upon extensive research with law enforcement, gangs, inmates, migrants, and addicts, an exposé on fentanyl trafficking, and its effect on all walks of life."
The Fall,"A brash, amateur photographer, reeling from her mother's suicide, must rectify her self-destruction and accept the past in order to receive love and redemption."
